"filename", "language", "TypeScript JSX", "SCSS", "XML", "TypeScript", "comment", "blank", "total"
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/App.scss", "SCSS", 0, 1, 0, 0, 0, 0, 1
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/App.tsx", "TypeScript JSX", 29, 0, 0, 0, 19, 11, 59
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Components/AllMessages.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 1, 11
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Components/Message.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 1, 11
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Firebase/config.ts", "TypeScript", 0, 0, 0, 11, 1, 1, 13
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Firebase/firestore.ts", "TypeScript", 0, 0, 0, 4, 0, 1, 5
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Helpers/CoordsEncrypt.tsx", "TypeScript JSX", 30, 0, 0, 0, 8, 15, 53
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Interfaces/Message.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 5
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Views/Location.tsx", "TypeScript JSX", 49, 0, 0, 0, 4, 11, 64
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Views/Login.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 4, 37
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Views/Styles/Location.scss", "SCSS", 0, 25, 0, 0, 0, 2, 27
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/Views/Styles/Login.scss", "SCSS", 0, 73, 0, 0, 0, 6, 79
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/assets/stars.svg", "XML", 0, 0, 106, 0, 0, 1, 107
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/index.scss", "SCSS", 0, 28, 0, 0, 1, 7, 36
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/main.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 2, 11
"/Users/dreamcom/Desktop/MyCode/outer-space-connector/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 175, 127, 107, 15, 34, 64, 522
